Code,Name,Description,DesignWeight,DesignQuestion,OperationalWeight,OperationalQuestion,DesignChoice1,DesignChoice2,DesignChoice3,DesignChoice4,DesignChoice5,OperationalChoice1,OperationalChoice2,OperationalChoice3,OperationalChoice4,OperationalChoice5
S.AC,Access Control (AC) Methods,"Access Control (AC) Methods are used to limit access to information and resources by enforcing a set of policies or rules. There are several AC methods used in information security, some of which are:

Role-based Access Control (RBAC): In RBAC, access to resources is based on the roles or functions that a user has within an organization. Users are granted permissions to perform specific tasks based on their roles, and those permissions are enforced by the system.

Mandatory Access Control (MAC): MAC is a security model where access to resources is based on the security classification of the resource and the clearance level of the user. The system enforces these rules and users cannot change them.

Discretionary Access Control (DAC): In DAC, access to resources is controlled by the owner of the resource. The owner decides who is granted access to the resource and what level of access they have.

Attribute-based Access Control (ABAC): ABAC is a model where access to resources is based on a set of attributes assigned to a user or resource. The system checks these attributes to determine whether access should be granted.

Rule-based Access Control (RuBAC): RuBAC is a model where access to resources is determined by a set of rules. These rules are defined by an administrator or security professional and enforced by the system.

These AC methods can be used separately or in combination to provide a comprehensive security solution for an organization.",1,,1,,AC methods are substantially absent.,"AC methods are present, however with limited configurability and capabilities.","AC methods are present, standard configurability and the ability to detect and correct threat events.","AC methods are present, fully configurable, and the ability to deter, prevent, detect and correct threat events.",,AC methods are not deployed.,Only a subset of AC methods have been deployed.,"The entire suite of AC methods have been deployed, however with inadequate performance considering organisation's requirements.","The entire suite of AC methods have been deployed, and performance is adequate considering organisation's requirements.",
S.SAA,Security Assessment and Auditing (SAA),Security Assessment and Auditing (SAA) is a process used to assess the security of an organization's information systems and infrastructure. The goal of SAA is to identify potential security vulnerabilities and risks and recommend controls to mitigate those risks.,1,,1,,No plans of actions are defined; presence of high-impact vulnerabilities; No AC log auditing and/or No AC/AAA policies.,Actions and milestones are defined; presence of medium-impact vulnerabilities; No AC log auditing; AC/AAA policies with no expiration dates.,Actions and milestones are defined; presence of low-impact vulnerabilities;AC log auditing; AC/AAA policies with limited configurability.,An information security management system is provisioned; presence of low-impact vulnerabilities; AC log auditing; AC/AAA policies clearly defined and configurable.,,Residual threat and vulnerability have not been mitigated; AC log is not working or missing; No AAA controls/permissions/auditing have been deployed.,Residual threat and vulnerability have been reduced; AC log contains denied/granted access requests; AAA controls/permissions/auditing have been not completely deployed (missing monitoring/coverage).,Residual threat and vulnerability is negligible; AC log continuously monitor denied/granted/3rd parties access requests; AAA controls/permissions/auditing have been deployed organisation-wide.,,
S.AAA,Authentication-Authorisation-Accounting (AAA),"Authentication-Authorization-Accounting (AAA) is a security framework used to control access to information systems and network resources. The AAA framework consists of three distinct components, each of which is responsible for a specific aspect of access control:

Authentication: The authentication component is responsible for verifying the identity of users or systems attempting to access information systems or network resources. This is typically achieved through the use of usernames and passwords, digital certificates, or other authentication methods.

Authorization: The authorization component is responsible for determining what resources or services a user or system is authorized to access. This is typically achieved through the use of access control lists, role-based access control, or other authorization methods.

Accounting: The accounting component is responsible for tracking the actions of users or systems accessing information systems or network resources. This includes monitoring and logging events such as logins, logouts, file accesses, and other activities.",1,,1,,"An ISMS has not been provisioned, and no type of policy enforcement or segregation of duties.",ISMS has been provisioned; policy enforcement is provided using standard protocols; no segregation of duties.,ISMS has been provisioned; policy enforcement fully configurable; no segregation of duties.,ISMS has been provisioned; policy enforcement fully configurable; support for segregation of duties.,,An ISMS is not established; missing monitoring of controls efficacy; no auditing is performed.,An ISMS is established; monitoring of controls efficacy is performed; no auditing is performed.,An ISMS is established; monitoring of controls efficacy is performed; auditing is performed cross-organisation.,,
S.SSO,"SSO, MFA","SSO (Single Sign-On) and MFA (Multi-Factor Authentication) are two security mechanisms used to control access to information systems and network resources.

SSO is a method of access control that allows users to authenticate once to a central identity provider and then be automatically signed into multiple applications or systems without the need for additional authentication. This can streamline the login process for users and reduce the risk of password-related security incidents, as users are not required to remember multiple usernames and passwords.

MFA, on the other hand, is a method of access control that requires users to provide more than one form of authentication to access a system or application. This can include something the user knows, such as a password, something they have, such as a security token or smart card, or something they are, such as a fingerprint or other biometric identifier. MFA provides an extra layer of security by requiring multiple forms of authentication, making it more difficult for attackers to gain unauthorized access to systems or applications.

Both SSO and MFA are important components of a comprehensive access control framework, and many organizations use both mechanisms to provide secure and efficient access to information systems and network resources.",1,,1,,"SSO, MFA and IWA are not available.","SSO and IWA are available, without support for MFA.","SSO and IWA are available, with support for MFA.",,,MFA is not deployed.,"MFA is deployed, with privacy preserving policies.","MFA is deployed, with security and privacy preserving policies.",,
S.IGI,Identity Governance and Intelligence,"Identity Governance and Intelligence (IGI) is a security framework that helps organizations to manage user access to information systems and network resources. IGI provides a centralized system for managing user identities, permissions, and access to applications and data.

The IGI framework typically consists of the following components:

Identity management: The identity management component is responsible for managing user identities, including the creation, deletion, and modification of user accounts, as well as user authentication and authorization.

Access management: The access management component is responsible for managing user access to applications and data. This includes the assignment and revocation of user permissions, as well as the enforcement of access policies.

Compliance management: The compliance management component is responsible for ensuring that the organization's access policies and procedures are in compliance with relevant regulations and standards, such as HIPAA or PCI DSS.

Analytics and reporting: The analytics and reporting component provides tools for monitoring user activity, generating reports on access policies and violations, and identifying potential security risks.

Overall, IGI provides a comprehensive framework for managing user access to information systems and network resources, helping organizations to improve security, streamline access management processes, and comply with relevant regulations and standards.",1,,1,,IGI does not allow integration with other systems,IGI provides connectors for compliance,IGI provides connectors for auditing,IGI provides connectors for compliance and auditing,,Connectors not deployed,Connectors deployed without periodic review,Connectors deployed with periodic review,,
S.ELS,Evidence of Layered-Security,"Evidence of Layered-Security refers to the documentation and demonstration of an organization's implementation of multiple layers of security controls to protect its information systems and network resources from cyber threats.

To provide evidence of layered-security, organizations may follow these standards:

Documentation: Organizations should have documented policies and procedures that outline the various layers of security controls in place, including firewalls, intrusion detection and prevention systems, anti-virus software, access controls, and other relevant controls.

Testing: Organizations should regularly test and verify the effectiveness of their layered-security controls, using techniques such as penetration testing, vulnerability scanning, and security assessments.

Training: Organizations should provide training and awareness programs to employees to ensure that they understand the importance of layered-security and are aware of their roles and responsibilities in maintaining a secure environment.

Compliance: Organizations should ensure that their layered-security controls comply with relevant regulations and standards, such as NIST SP 800-53, ISO/IEC 27001, and PCI DSS.",1,,1,,Multi-vendor and multi-layer security solutions are not considered.,Provision for multi-vendor and multi-layer security solutions.,,,,Multi-vendor and multi-layer security solutions are not deployed.,Multi-vendor and multi-layer security solutions are deployed.,Multi-vendor and multi-layer security solutions are deployed and effective.,,
S.DD,Defence-in-depth,"Defense-in-depth is a security strategy that involves implementing multiple layers of security controls to protect information systems and network resources from cyber threats. The goal of defense-in-depth is to provide a comprehensive and coordinated approach to security that makes it difficult for attackers to penetrate an organization's defenses and gain access to sensitive data.

The defense-in-depth strategy typically involves the following layers of security controls:

Perimeter security: The perimeter security layer is the first line of defense, and typically includes firewalls, intrusion detection and prevention systems, and other network security controls.

Network security: The network security layer includes access controls, network segmentation, and other controls designed to protect network traffic and data.

Host-based security: The host-based security layer includes anti-virus software, intrusion detection and prevention software, and other controls designed to protect individual computers and devices.

Application security: The application security layer includes controls designed to protect individual software applications and prevent unauthorized access or manipulation of data.

Data security: The data security layer includes controls designed to protect sensitive data, such as encryption, data loss prevention, and access controls.",1,,1,,"No provision for Incident Response procedures, physical security aspects, or escalation procedures.","Provision for Incident Response procedures, physical security aspects, and escalation procedures.",,,,Incident Response plan and procedures are not tested.,"Incident Response plan and procedures are tested, covering small part of the critical cyber resources.","Incident Response plan and procedures are tested, covering major part of the critical cyber resources.",,
S.PEP,Personal Identifiable Information (PII) and Sensitive PII (SPII),"Officially, Personally Identifiable Information (PII) is any information that can be used directly or indirectly to identify an individual, such as a name, email address, Social Security Number, or Internet Protocol (IP) address. Sensitive personally identifiable information (SPII) is defined as any PII that, if lost, stolen, or disclosed without authorization, could cause significant harm to an individual.",1,,1,,"No provision for PIA/DPIA, DLP or PET technologies.","Provision for PIA/DPIA, however, DLP/PET technologies are not considered.",Provision for PIA/DPIA and DLP/PET technologies.,,,No PIA/DPIA executed.,PIA/DPIA executed.,"PIA/DPIA executed, as well as DLP and PET technologies.",,
S.RC,Regulatory Compliance (DID assurance),"Regulatory compliance refers to the process of ensuring that an organization operates within the boundaries of laws, regulations, and standards applicable to its industry. In the context of decentralized identity (DID) assurance, regulatory compliance involves adhering to relevant laws and regulations related to privacy, data protection, and identity management.",1,,1,,The system does not allow any auditing,The system supports internal audits only,The system supports internal/external audits,,,No conformance with any regulatory framework or standard.,,,,
S.CP,Cryptographic protection,"Cryptographic protection refers to the use of cryptographic techniques to secure and protect data from unauthorized access, modification, or disclosure. Cryptography involves the use of mathematical algorithms and protocols to ensure the confidentiality, integrity, and authenticity of data.

There are several cryptographic techniques that can be used to protect data, including:

Encryption: This involves transforming plaintext data into ciphertext using a cryptographic algorithm and a secret key. Only someone with the key can decrypt the ciphertext and recover the original plaintext.

Hashing: This involves using a one-way cryptographic function to transform data into a fixed-length output called a hash. Hashing is often used to ensure the integrity of data, as any changes to the original data will result in a different hash value.

Digital signatures: This involves using public key cryptography to create a digital signature that can be used to verify the authenticity of a message or document. The signature is created using the sender's private key and can be verified using the sender's public key.

Key management: This involves securely storing and managing cryptographic keys to prevent unauthorized access or use. Key management techniques include key generation, distribution, and revocation.",1,,1,,Encryption and key management are not covered by policies.,Encryption and key management are covered by policies and versionated.,,,,Encryption and key management are not reviewed or updated.,"Encryption and key management are reviewed and updated, but they are not covering the whole system.","Encryption and key management are reviewed and updated, and they are covering the major part of system.",,
