Mechanism Code,Type,Code,Type,Name,Description,Standards,Weight,percentageChoice0,percentageChoice2,percentageChoice3,percentageChoice4,percentageChoice5
S.AC,design,S.AC.D1,Boolean,Provision for Deterrent Controls,"Deterrent controls reduce the likelihood of a deliberate attack and is usually in the form of a tangible object or person, as in the case of locks, CCTVs and guards.",,1,0,100,100,100,
S.AC,design,S.AC.D2,Boolean,Provision for Preventative Controls,"Preventative measures are intended to be put in place before a threat event in order to lessen the chance and potential consequences of a successful threat event. Policies, standards, protocols, procedures, encryption, firewalls, and physical barriers are a few examples of preventative measures.",,1,0,0,0,100,
S.AC,design,S.AC.D3,Boolean,Provision for Detective Controls,"Detective controls are intended to identify a threat event as it is happening and to aid in inquiries and audits after the event has taken place. Detective controls include things like host and network intrusion detection of threat events, antivirus identification of malicious code, and security event log monitoring.",,1,0,100,100,100,
S.AC,design,S.AC.D4,Boolean,Provision for Corrective Controls,"Corrective measures are intended to lessen the possible impact of a threat event after it has already happened and restore regular operations. The automatic eradication of harmful code by antivirus software, business continuity and recovery strategiesare a few examples of corrective controls.",,1,0,0,100,100,
S.AC,design,S.AC.D5,Boolean,Provision for policy enforcement / decision / Information Points,A PEP is a system entity that requests authorization decisions and subsequently enforces them. Such entity can be  a software mechanism (such as the access control mechanism of a file system or Web server) or hardware network device that protects (in terms of regulating access to) the resources exposed.,https://csrc.nist.gov/glossary/term/policy_enforcement_point,1,0,0,0,0,
S.AC,design,S.AC.D6,Boolean,Is the AC enforced by a client/server communication protocol?,The enforcement of the AC methods through client / server protocols ensures a higher level of security and consistency than local enforcements.,,1,0,0,0,0,
S.AC,design,S.AC.D7,Percentage,Which percentage of applications/modules are covered by AC methods?,AC methods should be applied to the totality of system components and applications.,,1,0,25,50,75,
S.AC,design,S.AC.D8,Boolean,Does the AC system support host-based rules?,Host-based access control specifies which users (or user groups) are permitted to access particular hosts (or host groups) via particular services (or services in a service group). This allows you to restrict access to a particular system in your domain to a specific user group and to permit just a particular service to access the systems in your domain.,,1,0,0,0,100,
S.AC,design,S.AC.D9,Percentage,What is the level of configurability of the AC system?,"0% - Not configurable
25% - Limited configuration possibilities
50% - Standard configuration possibilities
75% - Role-based or advance configuration possibilities
100% - Capable of handling possible future policy changes",,1,0,25,50,75,
S.AC,design,S.AC.D10,Boolean,Provision for session termination,"The organisation defines conditions or trigger events requiring session disconnect, and the information system terminates a user session automatically when the organization-defined criteria or trigger events requiring session disconnect occur.",AC-12 SESSION TERMINATION from NIST 800-171,1,0,0,0,0,
S.AC,operational,S.AC.O1,Boolean,Deployment of Deterrent Controls,"Deterrent controls reduce the likelihood of a deliberate attack and is usually in the form of a tangible object or person, as in the case of locks, CCTVs and guards.",,1,0,100,100,100,
S.AC,operational,S.AC.O2,Boolean,Deployment of Preventive Controls,"Preventative measures are intended to be put in place before a threat event in order to lessen the chance and potential consequences of a successful threat event. Policies, standards, protocols, procedures, encryption, firewalls, and physical barriers are a few examples of preventative measures.",,1,0,0,0,100,
S.AC,operational,S.AC.O3,Boolean,Deployment of Detective Controls,"Detective controls are intended to identify a threat event as it is happening and to aid in inquiries and audits after the event has taken place. Detective controls include things like host and network intrusion detection of threat events, antivirus identification of malicious code, and security event log monitoring.",,1,0,0,100,100,
